architecture,family,design,N,g,c_A,c_B,specificity,mode,R,valid_R,undefined_R,mean_A,mean_B,delta,bias,true_change,delta_sd,delta_mcse,mean_RC,ratio_of_means_RC,RC_q025,RC_q975,delta_q025,delta_q975,improve_5,improve_5_mcse,improve_5_lo,improve_5_hi,deteriorate_5,deteriorate_5_mcse,deteriorate_5_lo,deteriorate_5_hi,improve_10,improve_10_mcse,improve_10_lo,improve_10_hi,deteriorate_10,deteriorate_10_mcse,deteriorate_10_lo,deteriorate_10_hi,direction_reversal,direction_reversal_mcse,direction_reversal_lo,direction_reversal_hi,masked,masked_mcse,masked_lo,masked_hi,population_OE_A,population_OE_B,expected_RC
B1,main,paired,2000,0,0.7,0.5,0.995,independent,10000,10000,0,1.209129452,1.39827866184,0.189149209837,0.189149209837,-0,0.0193730865892,0.000193730865892,0.156444322258,0.156434209359,0.134887211435,0.178844318941,0.153095381474,0.22923240726,0,0,0,0.000383998370677,1,0,0.999616001629,1,0,0,0,0.000383998370677,1,0,0.999616001629,1,1,0,0.999616001629,1,0,0,0,0.000383998370677,1.20948842127,1.39867680489,0.1564201693
B1,main,paired,2000,0,0.7,0.525,0.995,independent,10000,10000,0,1.209129452,1.37214891087,0.163019458868,0.163019458868,-0,0.0172518203592,0.000172518203592,0.134832781683,0.134823826016,0.115226052373,0.155049943215,0.13046299032,0.198828700416,0,0,0,0.000383998370677,1,0,0.999616001629,1,0,0,0,0.000383998370677,0.9998,0.000141407213395,0.999271004156,0.999945151073,1,0,0.999616001629,1,0,0,0,0.000383998370677,1.20948842127,1.37260641697,0.134865280912
B1,main,paired,2000,0,0.7,0.55,0.995,independent,10000,10000,0,1.209129452,1.34691917644,0.13778972444,0.13778972444,-0,0.0151760060012,0.000151760060012,0.113963421489,0.113957793528,0.0963075695697,0.132718647077,0.109536274771,0.168992507717,0,0,0,0.000383998370677,1,0,0.999616001629,1,0,0,0,0.000383998370677,0.9361,0.00244574712511,0.931136957708,0.940728118913,1,0,0.999616001629,1,0,0,0,0.000383998370677,1.20948842127,1.347283377,0.11392829671
B1,main,paired,2000,0,0.7,0.575,0.995,independent,10000,10000,0,1.209129452,1.32228252082,0.113153068815,0.113153068815,-0,0.013084470586,0.00013084470586,0.0935856241107,0.0935822617069,0.0776754927729,0.110342453959,0.088977290324,0.140001052503,0,0,0,0.000383998370677,1,0,0.999616001629,1,0,0,0,0.000383998370677,0.2189,0.00413500652962,0.210904315332,0.227111568552,1,0,0.999616001629,1,0,0,0,0.000383998370677,1.20948842127,1.32267821463,0.0935848507229
B1,main,paired,2000,0,0.7,0.6,0.995,independent,10000,10000,0,1.209129452,1.29836222821,0.0892327762084,0.0892327762084,-0,0.011048739617,0.00011048739617,0.0738018988053,0.0737991916916,0.0598834057115,0.0885770103535,0.0687771594333,0.111564192619,0,0,0,0.000383998370677,0.9998,0.000141407213395,0.999271004156,0.999945151073,0,0,0,0.000383998370677,0.0005,0.000223550889061,0.000213588426164,0.00117002594614,1,0,0.999616001629,1,0,0,0,0.000383998370677,1.20948842127,1.29876294931,0.0738118087525
B1,main,paired,2000,0,0.7,0.625,0.995,independent,10000,10000,0,1.209129452,1.27512931617,0.0659998641672,0.0659998641672,-0,0.00900035838699,9.00035838699e-05,0.0545852918986,0.0545846137962,0.0428409042055,0.0671012707717,0.0496999361694,0.0847322135039,0,0,0,0.000383998370677,0.7641,0.0042455999576,0.755678342761,0.7723188293,0,0,0,0.000383998370677,0,0,0,0.000383998370677,1,0,0.999616001629,1,0,0,0,0.000383998370677,1.20948842127,1.27551099829,0.0545871922864
B1,main,paired,2000,0,0.7,0.65,0.995,independent,10000,10000,0,1.209129452,1.25253180878,0.0434023567788,0.0434023567788,-0,0.00688874846741,6.88874846741e-05,0.0358935250726,0.0358955417941,0.0265873934518,0.0461006100511,0.0308853232305,0.0577418795003,0,0,0,0.000383998370677,0.003,0.000546900356555,0.00210228769405,0.0042794066864,0,0,0,0.000383998370677,0,0,0,0.000383998370677,1,0,0.999616001629,1,0,0,0,0.000383998370677,1.20948842127,1.25289709129,0.0358901079636
B1,main,paired,2000,0,0.7,0.675,0.995,independent,10000,10000,0,1.209129452,1.23051894278,0.0213894907773,0.0213894907773,-0,0.00450306467928,4.50306467928e-05,0.0176889835622,0.0176899923676,0.0113189231646,0.0248628437281,0.0133538231868,0.0309274836741,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,1,0,0.999616001629,1,0.007,0.000833726573884,0.00554461930955,0.00883400308393,1.20948842127,1.23089719135,0.017700682121
B1,main,paired,2000,0,0.7,0.7,0.995,independent,10000,10000,0,1.209129452,1.209129452,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,1,0,0.999616001629,1,1.20948842127,1.20948842127,0
B1,main,paired,2000,0,0.7,0.725,0.995,independent,10000,10000,0,1.209129452,1.1883262307,-0.0208032213014,-0.0208032213014,-0,0.00433411044178,4.33411044178e-05,-0.0171969158084,-0.0172051232951,-0.0240499776858,-0.0110484135747,-0.0301460247242,-0.0129723863836,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0.0076,0.000868460707229,0.00607678426402,0.00950137733142,1.20948842127,1.18864899532,-0.0172299507669
