month,true_probability,true_realised,sensitivity,observed,centre,lower,upper,first_run,first_sigma
1,0.05,0.035,0.8,0.03,0.0416666666667,0.0227094780565,0.0606238552768,,25
2,0.05,0.052,0.8,0.041,0.0416666666667,0.0227094780565,0.0606238552768,,25
3,0.05,0.043,0.8,0.035,0.0416666666667,0.0227094780565,0.0606238552768,,25
4,0.05,0.054,0.8,0.044,0.0416666666667,0.0227094780565,0.0606238552768,,25
5,0.05,0.06,0.8,0.046,0.0416666666667,0.0227094780565,0.0606238552768,,25
6,0.05,0.057,0.8,0.047,0.0416666666667,0.0227094780565,0.0606238552768,,25
7,0.05,0.046,0.8,0.036,0.0416666666667,0.0227094780565,0.0606238552768,,25
8,0.05,0.064,0.8,0.049,0.0416666666667,0.0227094780565,0.0606238552768,,25
9,0.05,0.057,0.8,0.048,0.0416666666667,0.0227094780565,0.0606238552768,,25
10,0.05,0.051,0.8,0.034,0.0416666666667,0.0227094780565,0.0606238552768,,25
11,0.05,0.064,0.8,0.053,0.0416666666667,0.0227094780565,0.0606238552768,,25
12,0.05,0.048,0.8,0.035,0.0416666666667,0.0227094780565,0.0606238552768,,25
13,0.05,0.055,0.8,0.045,0.0416666666667,0.0227094780565,0.0606238552768,,25
14,0.05,0.064,0.8,0.049,0.0416666666667,0.0227094780565,0.0606238552768,,25
15,0.05,0.053,0.8,0.047,0.0416666666667,0.0227094780565,0.0606238552768,,25
16,0.05,0.046,0.8,0.038,0.0416666666667,0.0227094780565,0.0606238552768,,25
17,0.05,0.043,0.8,0.038,0.0416666666667,0.0227094780565,0.0606238552768,,25
18,0.05,0.051,0.8,0.038,0.0416666666667,0.0227094780565,0.0606238552768,,25
19,0.05,0.059,0.8,0.05,0.0416666666667,0.0227094780565,0.0606238552768,,25
20,0.05,0.051,0.8,0.04,0.0416666666667,0.0227094780565,0.0606238552768,,25
21,0.05,0.053,0.8,0.043,0.0416666666667,0.0227094780565,0.0606238552768,,25
22,0.05,0.055,0.8,0.041,0.0416666666667,0.0227094780565,0.0606238552768,,25
23,0.05,0.047,0.8,0.034,0.0416666666667,0.0227094780565,0.0606238552768,,25
24,0.05,0.048,0.8,0.039,0.0416666666667,0.0227094780565,0.0606238552768,,25
25,0.05,0.065,0.9,0.062,0.0416666666667,0.0227094780565,0.0606238552768,,25
26,0.05,0.058,0.9,0.051,0.0416666666667,0.0227094780565,0.0606238552768,,25
27,0.05,0.053,0.9,0.048,0.0416666666667,0.0227094780565,0.0606238552768,,25
28,0.05,0.05,0.9,0.043,0.0416666666667,0.0227094780565,0.0606238552768,,25
29,0.05,0.048,0.9,0.04,0.0416666666667,0.0227094780565,0.0606238552768,,25
30,0.05,0.047,0.9,0.042,0.0416666666667,0.0227094780565,0.0606238552768,,25
31,0.05,0.052,0.9,0.043,0.0416666666667,0.0227094780565,0.0606238552768,,25
32,0.05,0.047,0.9,0.04,0.0416666666667,0.0227094780565,0.0606238552768,,25
33,0.05,0.05,0.9,0.045,0.0416666666667,0.0227094780565,0.0606238552768,,25
34,0.05,0.041,0.9,0.038,0.0416666666667,0.0227094780565,0.0606238552768,,25
35,0.05,0.041,0.9,0.038,0.0416666666667,0.0227094780565,0.0606238552768,,25
36,0.05,0.049,0.9,0.048,0.0416666666667,0.0227094780565,0.0606238552768,,25
37,0.05,0.046,0.9,0.04,0.0416666666667,0.0227094780565,0.0606238552768,,25
38,0.05,0.041,0.9,0.038,0.0416666666667,0.0227094780565,0.0606238552768,,25
39,0.05,0.039,0.9,0.037,0.0416666666667,0.0227094780565,0.0606238552768,,25
40,0.05,0.066,0.9,0.059,0.0416666666667,0.0227094780565,0.0606238552768,,25
41,0.05,0.045,0.9,0.039,0.0416666666667,0.0227094780565,0.0606238552768,,25
42,0.05,0.054,0.9,0.049,0.0416666666667,0.0227094780565,0.0606238552768,,25
43,0.05,0.048,0.9,0.045,0.0416666666667,0.0227094780565,0.0606238552768,,25
44,0.05,0.053,0.9,0.049,0.0416666666667,0.0227094780565,0.0606238552768,,25
45,0.05,0.051,0.9,0.044,0.0416666666667,0.0227094780565,0.0606238552768,,25
46,0.05,0.047,0.9,0.045,0.0416666666667,0.0227094780565,0.0606238552768,,25
47,0.05,0.049,0.9,0.043,0.0416666666667,0.0227094780565,0.0606238552768,,25
48,0.05,0.047,0.9,0.046,0.0416666666667,0.0227094780565,0.0606238552768,,25
