architecture,family,design,coupling,N,p,g,se_A,se_B,sp_A,sp_B,R,valid_R,undefined_R,mean_A,mean_B,delta,bias,true_change,delta_sd,delta_mcse,mean_RC,ratio_of_means_RC,RC_q025,RC_q975,delta_q025,delta_q975,improve_5,improve_5_mcse,improve_5_lo,improve_5_hi,deteriorate_5,deteriorate_5_mcse,deteriorate_5_lo,deteriorate_5_hi,improve_10,improve_10_mcse,improve_10_lo,improve_10_hi,deteriorate_10,deteriorate_10_mcse,deteriorate_10_lo,deteriorate_10_hi,direction_reversal,direction_reversal_mcse,direction_reversal_lo,direction_reversal_hi,masked,masked_mcse,masked_lo,masked_hi,mean_naive_CI_width,naive_CI_excludes_zero,naive_CI_excludes_zero_mcse,naive_CI_excludes_zero_lo,naive_CI_excludes_zero_hi,expected_A,expected_B,expected_delta,expected_RC,analytic_z_delta,e,q,n_A,n_B,d_A,d_B,f_A,f_B
A,sample_size,paired,shared,500,0.05,0,0.8,0.6,1,1,10000,10000,0,0.0399452,0.0299716,-0.0099736,-0.0099736,-0,0.00437305561382,4.37305561382e-05,-0.249854041448,-0.249682064428,-0.45,-0.0666666666667,-0.02,-0.002,0.9888,0.00105235735375,0.986541590683,0.99068301251,0,0,0,0.000383998370677,0.9501,0.00217738352157,0.945656889301,0.954197435366,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0.0061,0.000778639197575,0.00475210315987,0.00782721043068,0.016943415836,0.7417,0.0043769979438,0.733029574392,0.750184800795,0.04,0.03,-0.01,-0.25,0.603696873111,,,,,,,,
A,sample_size,paired,shared,500,0.05,0,0.8,0.625,1,1,10000,10000,0,0.039984,0.0312186,-0.0087654,-0.0087654,-0,0.00418572751998,4.18572751998e-05,-0.218924581438,-0.219222689076,-0.421052631579,-0.0526315789474,-0.018,-0.002,0.9782,0.00146029996918,0.975148900559,0.980883843399,0,0,0,0.000383998370677,0.9072,0.00290151960186,0.901355704252,0.912731567475,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0.0116,0.00107076794872,0.00968091637647,0.013894173232,0.0157871329135,0.6385,0.00480434959178,0.629032121943,0.647861510508,0.04,0.03125,-0.00875,-0.21875,-0.367916925469,,,,,,,,
A,sample_size,paired,shared,500,0.05,0,0.8,0.65,1,1,10000,10000,0,0.039968,0.0324546,-0.0075134,-0.0075134,-0,0.00387302471875,3.87302471875e-05,-0.187782276966,-0.187985388311,-0.380952380952,-0.0384615384615,-0.016,-0.002,0.9584,0.00199673333222,0.954307243761,0.962140706533,0,0,0,0.000383998370677,0.8419,0.00364834743411,0.834618249035,0.848919172879,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0.0233,0.00150854598869,0.0205212618206,0.026444842226,0.0145003044324,0.5211,0.00499554591611,0.511302684264,0.530881111004,0.04,0.0325,-0.0075,-0.1875,-0.345982816353,,,,,,,,
A,sample_size,paired,shared,500,0.05,0,0.8,0.675,1,1,10000,10000,0,0.0399786,0.0337084,-0.0062702,-0.0062702,-0,0.00352031692084,3.52031692084e-05,-0.156680205631,-0.156838908816,-0.333333333333,0,-0.014,0,0.922,0.00268171586862,0.916580397537,0.927095507838,0,0,0,0.000383998370677,0.7522,0.00431735057645,0.743642374525,0.760563936696,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0.0446,0.00206423932721,0.0407260367722,0.0488237089438,0.0130862246774,0.3813,0.00485705991316,0.371827636908,0.390863524306,0.04,0.03375,-0.00625,-0.15625,-0.573811973588,,,,,,,,
A,sample_size,paired,shared,500,0.05,0,0.8,0.7,1,1,10000,10000,0,0.0399518,0.0349522,-0.0049996,-0.0049996,-0,0.00312617612071,3.12617612071e-05,-0.125153051513,-0.125140794658,-0.285714285714,0,-0.012,0,0.8582,0.003488448939,0.85122514668,0.864899756887,0,0,0,0.000383998370677,0.6119,0.00487317545344,0.602307519537,0.621406541627,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0.079,0.00269738762509,0.0738734242424,0.0844499023857,0.0114568631772,0.2417,0.00428113431231,0.233409342583,0.250189030975,0.04,0.035,-0.005,-0.125,0.0127951844223,,,,,,,,
A,sample_size,paired,shared,500,0.05,0,0.8,0.725,1,1,10000,10000,0,0.0399738,0.036199,-0.0037748,-0.0037748,-0,0.00274700556315,2.74700556315e-05,-0.0943834502668,-0.0944318528636,-0.241379310345,0,-0.01,0,0.7427,0.0043714609686,0.734040035777,0.751173571414,0,0,0,0.000383998370677,0.4435,0.00496797493955,0.43378648946,0.453256902356,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0.1558,0.00362665631126,0.148824192397,0.163040152082,0.00954245215735,0.1219,0.00327170276767,0.115632357693,0.128458021875,0.04,0.03625,-0.00375,-0.09375,-0.902801229554,,,,,,,,
A,sample_size,paired,shared,500,0.05,0,0.8,0.75,1,1,10000,10000,0,0.0399846,0.0374656,-0.002519,-0.002519,-0,0.00223148761003,2.23148761003e-05,-0.0630884868404,-0.0629992547131,-0.190476190476,0,-0.008,0,0.5696,0.00495132143978,0.559870688624,0.579275858803,0,0,0,0.000383998370677,0.2455,0.00430383259433,0.237163424242,0.254032030928,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0.2798,0.00448900835375,0.271087544784,0.288681568099,0.0072301439154,0.039,0.0019359493795,0.0353792328169,0.0429748136809,0.04,0.0375,-0.0025,-0.0625,-0.851449943734,,,,,,,,
A,sample_size,paired,shared,500,0.05,0,0.8,0.775,1,1,10000,10000,0,0.039974,0.0387236,-0.0012504,-0.0012504,-0,0.00158162890559,1.58162890559e-05,-0.031241528488,-0.0312803322159,-0.125,0,-0.004,0,0.3124,0.00463471940898,0.303389613547,0.321554462642,0,0,0,0.000383998370677,0.0729,0.00259972286985,0.0679669816398,0.0781610297684,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0.5356,0.00498731029714,0.525813248497,0.545359410819,0.00413686439449,0.0039,0.000623280835579,0.00285436086877,0.00532664231461,0.04,0.03875,-0.00125,-0.03125,-0.0252903825028,,,,,,,,
A,sample_size,paired,shared,500,0.05,0,0.8,0.8,1,1,10000,10000,0,0.0399674,0.0399674,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,1,0,0.999616001629,1,0,0,0,0,0.000383998370677,0.04,0.04,0,0,0,,,,,,,,
A,sample_size,paired,shared,500,0.05,0,0.8,0.825,1,1,10000,10000,0,0.0399728,0.0412208,0.001248,0.001248,-0,0.00155933933251,1.55933933251e-05,0.0329501496936,0.0312212304367,0,0.142857142857,0,0.004,0,0,0,0.000383998370677,0.3233,0.00467736154258,0.314201901512,0.332533803513,0,0,0,0.000383998370677,0.0749,0.00263229918512,0.0699024344934,0.0802240409213,0.4683,0.00498994098161,0.458533938515,0.478090406982,0.5317,0.00498994098161,0.521909593018,0.541466061485,0.0041531975933,0.0029,0.000537735064879,0.00201999663356,0.00416177454657,0.04,0.04125,0.00125,0.03125,-0.128259446696,,,,,,,,
