architecture,family,design,coupling,N,p,g,se_A,se_B,sp_A,sp_B,R,valid_R,undefined_R,mean_A,mean_B,delta,bias,true_change,delta_sd,delta_mcse,mean_RC,ratio_of_means_RC,RC_q025,RC_q975,delta_q025,delta_q975,improve_5,improve_5_mcse,improve_5_lo,improve_5_hi,deteriorate_5,deteriorate_5_mcse,deteriorate_5_lo,deteriorate_5_hi,improve_10,improve_10_mcse,improve_10_lo,improve_10_hi,deteriorate_10,deteriorate_10_mcse,deteriorate_10_lo,deteriorate_10_hi,direction_reversal,direction_reversal_mcse,direction_reversal_lo,direction_reversal_hi,masked,masked_mcse,masked_lo,masked_hi,mean_naive_CI_width,naive_CI_excludes_zero,naive_CI_excludes_zero_mcse,naive_CI_excludes_zero_lo,naive_CI_excludes_zero_hi,expected_A,expected_B,expected_delta,expected_RC,analytic_z_delta,e,q,n_A,n_B,d_A,d_B,f_A,f_B
A,main,paired,shared,2000,0.05,0.0,0.8,0.6,1.0,1.0,10000,10000,0,0.04003105,0.0300668,-0.00996425,-0.00996425,-0.0,0.00221176086549,2.21176086549e-05,-0.248960540216,-0.248913031259,-0.346673469388,-0.156626506024,-0.0145,-0.006,0.9999,9.9994999875e-05,0.999433731103,0.999982347326,0.0,0.0,0.0,0.000383998370677,0.9995,0.000223550889061,0.998829974054,0.999786411574,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.00865180042319,0.9999,9.9994999875e-05,0.999433731103,0.999982347326,0.04,0.03,-0.01,-0.25,1.61635918954,,,,,,,,
A,main,paired,shared,2000,0.05,0.0,0.8,0.625,1.0,1.0,10000,10000,0,0.04007585,0.03127815,-0.0087977,-0.0087977,-0.0,0.0020842286609,2.0842286609e-05,-0.219578016396,-0.219526223399,-0.315068493151,-0.132530120482,-0.013,-0.005,0.9999,9.9994999875e-05,0.999433731103,0.999982347326,0.0,0.0,0.0,0.000383998370677,0.9983,0.00041195994951,0.997279014585,0.998938292639,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.00812729924336,1.0,0.0,0.999616001629,1.0,0.04,0.03125,-0.00875,-0.21875,-2.28861645053,,,,,,,,
A,main,paired,shared,2000,0.05,0.0,0.8,0.65,1.0,1.0,10000,10000,0,0.0400639,0.03255155,-0.00751235,-0.00751235,-0.0,0.00193336397689,1.93336397689e-05,-0.187562344235,-0.187509204047,-0.278481012658,-0.105756578947,-0.0115,-0.004,0.9996,0.000199959995999,0.998971871665,0.999844437163,0.0,0.0,0.0,0.000383998370677,0.983,0.00129271033105,0.980274568877,0.985354488697,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.00750467745075,0.9996,0.000199959995999,0.998971871665,0.999844437163,0.04,0.0325,-0.0075,-0.1875,-0.638782978665,,,,,,,,
A,main,paired,shared,2000,0.05,0.0,0.8,0.675,1.0,1.0,10000,10000,0,0.0400668,0.0337852,-0.0062816,-0.0062816,-0.0,0.00178476048169,1.78476048169e-05,-0.156709611336,-0.156778180439,-0.241758241758,-0.0813953488372,-0.01,-0.003,0.9979,0.000457776146168,0.996791606127,0.998626008295,0.0,0.0,0.0,0.000383998370677,0.9228,0.00266908523656,0.917404819832,0.927870471146,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0068535968503,0.9983,0.00041195994951,0.997279014585,0.998938292639,0.04,0.03375,-0.00625,-0.15625,-1.77054570203,,,,,,,,
A,main,paired,shared,2000,0.05,0.0,0.8,0.7,1.0,1.0,10000,10000,0,0.04008535,0.0350651,-0.00502025,-0.00502025,-0.0,0.00160006904838,1.60006904838e-05,-0.125227710493,-0.125239021238,-0.202707598903,-0.056338028169,-0.0085,-0.002,0.9859,0.00117903307842,0.983395474683,0.9880313557,0.0,0.0,0.0,0.000383998370677,0.7404,0.00438415145724,0.731716061851,0.748899311732,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.00611288122877,0.9891,0.0010383250936,0.986868847623,0.99095552517,0.04,0.035,-0.005,-0.125,-1.26557038401,,,,,,,,
A,main,paired,shared,2000,0.05,0.0,0.8,0.725,1.0,1.0,10000,10000,0,0.04004825,0.03628155,-0.0037667,-0.0037667,-0.0,0.0013752673362,1.3752673362e-05,-0.0940009776306,-0.0940540473054,-0.162790697674,-0.0352941176471,-0.0065,-0.0015,0.9222,0.00267856603428,0.916786487808,0.927289263968,0.0,0.0,0.0,0.000383998370677,0.4103,0.00491888107195,0.400695404574,0.419973484733,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0009,0.000299864969611,0.000473577060585,0.00170973011302,0.00527297448388,0.9432,0.0023146006135,0.938490957382,0.947568666462,0.04,0.03625,-0.00375,-0.09375,-1.21430936083,,,,,,,,
A,main,paired,shared,2000,0.05,0.0,0.8,0.75,1.0,1.0,10000,10000,0,0.04005245,0.03753065,-0.0025218,-0.0025218,-0.0,0.00114000207038,1.14000207038e-05,-0.0628668149395,-0.0629624404999,-0.122807017544,-0.0131578947368,-0.005,-0.0005,0.6679,0.00470966654871,0.65860629713,0.677064756217,0.0,0.0,0.0,0.000383998370677,0.0953,0.00293628864385,0.0896993909883,0.101211417293,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0072,0.000845467917783,0.00572169385772,0.00905677493642,0.00426541584902,0.7412,0.0043797552443,0.73252436561,0.749690393576,0.04,0.0375,-0.0025,-0.0625,-1.91227722882,,,,,,,,
A,main,paired,shared,2000,0.05,0.0,0.8,0.775,1.0,1.0,10000,10000,0,0.04002345,0.03876315,-0.0012603,-0.0012603,-0.0,0.000807099158038,8.07099158038e-06,-0.0314427539982,-0.0314890395506,-0.0759493670886,0.0,-0.003,0.0,0.172,0.00377380444644,0.164729778419,0.179522124512,0.0,0.0,0.0,0.000383998370677,0.0029,0.000537735064879,0.00201999663356,0.00416177454657,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0873,0.00282274175227,0.0819247965651,0.0929921556901,0.00286730540463,0.2458,0.00430560518394,0.237459837065,0.254335387707,0.04,0.03875,-0.00125,-0.03125,-1.27617528744,,,,,,,,
A,main,paired,shared,2000,0.05,0.0,0.8,0.8,1.0,1.0,10000,10000,0,0.04003865,0.04003865,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.0,0.000383998370677,0.04,0.04,0.0,0.0,0.0,,,,,,,,
A,main,paired,shared,2000,0.05,0.0,0.8,0.825,1.0,1.0,10000,10000,0,0.0400149,0.0412736,0.0012587,0.0012587,-0.0,0.00080388987672,8.0388987672e-06,0.0318385292281,0.0314557827209,0.0,0.0795454545455,0.0,0.003,0.0,0.0,0.0,0.000383998370677,0.1827,0.00386420379897,0.175248616489,0.190395068877,0.0,0.0,0.0,0.000383998370677,0.0045,0.00066930934552,0.00336497129159,0.00601557109375,0.914,0.00280364049051,0.908344745835,0.919337303514,0.0881,0.00283440275896,0.0827016566889,0.0938146811688,0.00286671909164,0.2434,0.00429134524363,0.23508868964,0.251908378324,0.04,0.04125,0.00125,0.03125,1.08223778554,,,,,,,,
