architecture,family,design,N,g,c_A,c_B,specificity,mode,R,valid_R,undefined_R,mean_A,mean_B,delta,bias,true_change,delta_sd,delta_mcse,mean_RC,ratio_of_means_RC,RC_q025,RC_q975,delta_q025,delta_q975,improve_5,improve_5_mcse,improve_5_lo,improve_5_hi,deteriorate_5,deteriorate_5_mcse,deteriorate_5_lo,deteriorate_5_hi,improve_10,improve_10_mcse,improve_10_lo,improve_10_hi,deteriorate_10,deteriorate_10_mcse,deteriorate_10_lo,deteriorate_10_hi,direction_reversal,direction_reversal_mcse,direction_reversal_lo,direction_reversal_hi,masked,masked_mcse,masked_lo,masked_hi,population_OE_A,population_OE_B,expected_RC
B1,sample_size,paired,500,0,0.7,0.5,0.995,independent,10000,10000,0,1.21082366287,1.40070578171,0.189882118841,0.189882118841,0,0.0388437141856,0.000388437141856,0.156902330695,0.15682062109,0.115577532671,0.202501886078,0.121433308306,0.27357336359,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,0.9963,0.000607149899119,0.994904491255,0.997314351962,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,1.20948842127,1.39867680489,0.1564201693
B1,sample_size,paired,500,0,0.7,0.7,0.995,independent,10000,10000,0,1.21082366287,1.21082366287,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,1.20948842127,1.20948842127,0.0
B1,sample_size,paired,500,0,0.7,0.9,0.995,independent,10000,10000,0,1.21082366287,1.05812208943,-0.152701573438,-0.152701573438,0,0.0312269422741,0.000312269422741,-0.125868232191,-0.126113800151,-0.157213609223,-0.0961115854267,-0.218899432339,-0.0978384871954,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,0.9566,0.00203755834272,0.952428044369,0.960421288318,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,1.20948842127,1.05708637666,-0.126005377092
B1,sample_size,paired,500,0,0.7,1.0,0.995,independent,10000,10000,0,1.21082366287,0.992629625992,-0.21819403688,-0.21819403688,0,0.0411345965679,0.000411345965679,-0.179854588153,-0.180202983779,-0.213815727953,-0.146541712487,-0.306355901868,-0.143517245036,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,1.20948842127,0.991682690441,-0.180080873037
B2,sample_size,paired,500,0,0.7,0.5,0.995,independent,10000,10000,0,1.00938896723,1.13213200708,0.122743039852,0.122743039852,0,0.0247364224934,0.000247364224934,0.121615904851,0.121601328959,0.0910237327778,0.155167264971,0.0791308346892,0.176064280691,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,0.9121,0.00283149412855,0.906390937247,0.917492571296,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,1.00854084914,1.13090053486,0.121323480179
B2,sample_size,paired,500,0,0.7,0.7,0.995,independent,10000,10000,0,1.00938896723,1.00938896723,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,1.00854084914,1.00854084914,0.0
B2,sample_size,paired,500,0,0.7,0.9,0.995,independent,10000,10000,0,1.00938896723,0.906076858716,-0.103312108513,-0.103312108513,0,0.0207854253221,0.000207854253221,-0.102180853333,-0.102351137041,-0.127301133721,-0.0787407080851,-0.147544082608,-0.0666446779227,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,0.5616,0.00496190930993,0.551853020789,0.571299670612,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,1.00854084914,0.905385345576,-0.102281929041
B2,sample_size,paired,500,0,0.7,1.0,0.995,independent,10000,10000,0,1.00938896723,0.860385324821,-0.149003642408,-0.149003642408,0,0.0277388363687,0.000277388363687,-0.147370032087,-0.147617664989,-0.175249426489,-0.120563260811,-0.2085855303,-0.0985127351633,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,0.9995,0.000223550889061,0.998829974054,0.999786411574,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,1.00854084914,0.859743647669,-0.14753710928
B1,sample_size,paired,1000,0,0.7,0.5,0.995,independent,10000,10000,0,1.20843539696,1.39763567665,0.189200279691,0.189200279691,0,0.0273747890131,0.000273747890131,0.156588532026,0.156566317212,0.126754302283,0.188574090348,0.139239377135,0.245735019868,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,1.20948842127,1.39867680489,0.1564201693
B1,sample_size,paired,1000,0,0.7,0.7,0.995,independent,10000,10000,0,1.20843539696,1.20843539696,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,1.20948842127,1.20948842127,0.0
