n,kind,end,rule,R,signal_probability,mcse,wilson_lo,wilson_hi,detected_R,nondetected_R,mean_first_month_conditional,median_lag_conditional,mean_lag_conditional,restricted_mean_lag,mean_shift,shift_mcse
1000,abrupt,0.8,eight_same_side,10000,0.1106,0.0031363615863,0.104601734857,0.116897323074,1106,8894,39.095840868,14.0,14.095840868,22.9046,-3.33125e-05,1.8021089889e-05
1000,abrupt,0.8,three_sigma,10000,0.0759,0.0026483804485,0.0708705655803,0.0812551418377,759,9241,36.5454545455,12.0,11.5454545455,23.0547,-3.33125e-05,1.8021089889e-05
1000,abrupt,0.82,eight_same_side,10000,0.1291,0.00335310587366,0.122670176777,0.135814673214,1291,8709,39.4469403563,14.0,14.4469403563,22.7667,0.000993825,1.79867311516e-05
1000,abrupt,0.82,three_sigma,10000,0.1123,0.00315735189676,0.106259977532,0.118637774804,1123,8877,36.4594835263,11.0,11.4594835263,22.5917,0.000993825,1.79867311516e-05
1000,abrupt,0.85,eight_same_side,10000,0.2291,0.00420253720983,0.220968128217,0.2374399221,2291,7709,38.807071148,14.0,13.807071148,21.6648,0.00248479166667,1.81130561734e-05
1000,abrupt,0.85,three_sigma,10000,0.1905,0.00392695492717,0.182922717464,0.198314977528,1905,8095,35.9511811024,11.0,10.9511811024,21.5142,0.00248479166667,1.81130561734e-05
1000,abrupt,0.9,eight_same_side,10000,0.5254,0.00499354423231,0.515604954038,0.535175538844,5254,4746,37.5829843928,12.0,12.5829843928,18.0015,0.00498775,1.84271592974e-05
1000,abrupt,0.9,three_sigma,10000,0.4225,0.00493957234991,0.412850189217,0.432209330531,4225,5775,35.0542011834,9.0,10.0542011834,18.1079,0.00498775,1.84271592974e-05
1000,abrupt,0.95,eight_same_side,10000,0.8216,0.00382849108658,0.813973225982,0.828979786265,8216,1784,36.1983933788,9.0,11.1983933788,13.4822,0.00753324583333,1.86328890539e-05
1000,abrupt,0.95,three_sigma,10000,0.7228,0.00447616085502,0.713942598458,0.731486291868,7228,2772,33.4277808522,7.0,8.42778085224,12.7444,0.00753324583333,1.86328890539e-05
1000,gradual,0.8,eight_same_side,10000,0.1121,0.00315489445148,0.106064866667,0.118433039269,1121,8879,39.3666369313,14.0,14.3666369313,22.9201,1.89708333333e-05,1.79405799515e-05
1000,gradual,0.8,three_sigma,10000,0.0833,0.00276335140726,0.0780426192332,0.088877405009,833,9167,36.1464585834,11.0,11.1464585834,22.9293,1.89708333333e-05,1.79405799515e-05
1000,gradual,0.82,eight_same_side,10000,0.117,0.00321420285607,0.110846842359,0.123447300393,1170,8830,39.1923076923,14.0,14.1923076923,22.8525,0.000525004166667,1.78293184807e-05
1000,gradual,0.82,three_sigma,10000,0.0924,0.00289589778825,0.0868795941568,0.098233441315,924,9076,36.724025974,12.0,11.724025974,22.8657,0.000525004166667,1.78293184807e-05
1000,gradual,0.85,eight_same_side,10000,0.1398,0.00346779411154,0.133141462229,0.146735170197,1398,8602,40.2281831187,16.0,15.2281831187,22.7737,0.00125789166667,1.78501432512e-05
1000,gradual,0.85,three_sigma,10000,0.1327,0.00339250217391,0.126191641265,0.139490443938,1327,8673,38.1401657875,14.0,13.1401657875,22.5589,0.00125789166667,1.78501432512e-05
