N,record,R,analytic_reliability,estimated_reliability,mean_measure,expected_measure,expected_RC,mean_paired_delta
500,A,10000,0.526870389884,0.539352048704,0.0402132,0.04,0.125,0.005032
500,B,10000,0.55746539069,0.569401142163,0.0452452,0.045,0.125,0.005032
1000,A,10000,0.690131124914,0.688801506828,0.0400668,0.04,0.125,0.0049969
1000,B,10000,0.715862315815,0.715683657579,0.0450637,0.045,0.125,0.0049969
2000,A,10000,0.816659861168,0.813501553461,0.0401037,0.04,0.125,0.00503
2000,B,10000,0.83440531238,0.832234135666,0.0451337,0.045,0.125,0.00503
5000,A,10000,0.917599559552,0.916083090217,0.04003792,0.04,0.125,0.00501508
5000,B,10000,0.926454920248,0.924829115804,0.045053,0.045,0.125,0.00501508
10000,A,10000,0.957029380802,0.956637641841,0.03995737,0.04,0.125,0.00498642
10000,B,10000,0.961823617579,0.961514360628,0.04494379,0.045,0.125,0.00498642
