Change pattern,Final sensitivity (%),Eight-point signal (%),Primary MCSE (pp),Three-sigma signal (%),Secondary MCSE (pp)
abrupt,80,11.06,0.313636,7.59,0.264838
abrupt,82,12.91,0.335311,11.23,0.315735
abrupt,85,22.91,0.420254,19.05,0.392695
abrupt,90,52.54,0.499354,42.25,0.493957
abrupt,95,82.16,0.382849,72.28,0.447616
gradual,80,11.21,0.315489,8.33,0.276335
gradual,82,11.7,0.32142,9.24,0.28959
gradual,85,13.98,0.346779,13.27,0.33925
gradual,90,25.65,0.436701,23.13,0.421664
gradual,95,43.14,0.495272,37.54,0.484226
